obs,sim,site,species,var,dataset
135.3499408,119.0791845,24,spruce,V,Old0
78.16918821,78.71028537,24,spruce,V,Old0
81.8785687,71.76492193,24,spruce,V,Old0
123.2571357,74.9514557,24,spruce,V,Old0
12.76156257,14.65907522,25,spruce,V,Old0
25.91981586,38.24588721,25,spruce,V,Old0
58.8364837,91.27085099,25,spruce,V,Old0
61.90380657,75.35553353,25,spruce,V,Old0
50.24622791,53.4400114,25,spruce,V,Old0
28.46706754,24.42413473,25,spruce,V,Old0
27.68374354,19.1013976,25,spruce,V,Old0
10.83635353,15.53443431,25,spruce,V,Old0
40.80108853,42.5665947,25,spruce,V,Old0
58.46091819,111.3466546,25,spruce,V,Old0
39.68505836,90.22191343,25,spruce,V,Old0
60.82791478,62.33185158,25,spruce,V,Old0
32.01412719,21.00338251,25,spruce,V,Old0
11.85429096,14.35673246,25,spruce,V,Old0
42.42653696,41.72918084,25,spruce,V,Old0
82.15502805,133.68116,25,spruce,V,Old0
47.62720468,106.8560649,25,spruce,V,Old0
91.43887249,71.00257313,25,spruce,V,Old0
0.422785757,0.314660487,26,spruce,V,Old0
16.96896633,15.07461052,26,spruce,V,Old0
81.58211114,78.58893483,26,spruce,V,Old0
120.4604023,113.4041758,26,spruce,V,Old0
102.7176814,90.48248755,26,spruce,V,Old0
26.27906695,21.59152863,26,spruce,V,Old0
10.40968054,7.395359424,26,spruce,V,Old0
0.334345166,0.387766191,26,spruce,V,Old0
7.729897062,17.03852095,26,spruce,V,Old0
74.71257577,101.0749422,26,spruce,V,Old0
132.000613,147.7490389,26,spruce,V,Old0
110.260791,112.5262407,26,spruce,V,Old0
5.696529329,16.48247187,26,spruce,V,Old0
74.35894477,111.5731498,26,spruce,V,Old0
141.3403093,173.6602202,26,spruce,V,Old0
125.5426548,128.0628238,26,spruce,V,Old0
2.176550187,1.709611845,27,spruce,V,Old0
14.52599407,14.75597223,27,spruce,V,Old0
39.47438109,40.34101921,27,spruce,V,Old0
64.50421141,65.05206664,27,spruce,V,Old0
101.0521779,96.17980924,27,spruce,V,Old0
76.0912672,63.98912228,27,spruce,V,Old0
20.70357737,13.42904217,27,spruce,V,Old0
68.20578913,46.89429281,27,spruce,V,Old0
1.739551109,1.911147287,27,spruce,V,Old0
13.33115969,16.19720809,27,spruce,V,Old0
41.45729493,48.38102649,27,spruce,V,Old0
67.64269672,83.21189175,27,spruce,V,Old0
117.3463454,122.0228367,27,spruce,V,Old0
87.32524211,78.74306803,27,spruce,V,Old0
23.02033292,16.20040185,27,spruce,V,Old0
77.14978446,54.64524541,27,spruce,V,Old0
1.480809805,2.036773725,27,spruce,V,Old0
12.01693644,14.98029589,27,spruce,V,Old0
